PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,SEASON,POSITION,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
2072,Michael,Redd,Michael Redd,2000,SG-SF,76.75,,214,81,102,27,31,,,,12.06,,3.34,12
12149,Damon,Reed,Damon Reed,2000,PF-C,80.5,,228,81.5,104.5,27.5,31.5,,,,11.21,,3.31,4
12021,Aubrey,Reese,Aubrey Reese,2000,PG,70.75,,189,77.5,94.5,31.5,37.5,,,,11.13,,3.25,14
2121,Terrance,Roberson,Terrance Roberson,2000,SF,77.5,,209,80,103.5,29,32.5,,,,11.66,,,11
12022,Julius Doc,Robinson,Julius Doc Robinson,2000,PG,72,,184,75.75,95.5,30,37.5,,,,12.54,,3.41,0
12023,Pepe,Sanchez,Pepe Sanchez,2000,PG,75,,194,75.5,96,26,31,,,,11.62,,3.44,8
12024,Matt,Santangelo,Matt Santangelo,2000,PG,72,,177,75,94,33.5,43,,,,10.66,,3.06,12
2637,Alex,Scales,Alex Scales,2000,SG-PG,74.25,,184.5,81,97.5,38.5,42.5,,,,10.98,,3.21,10
12025,Karim,Shabazz,Karim Shabazz,2000,C,83.5,,224,87,111.5,24.5,28,,,,12.72,,3.36,2
12026,Nick,Sheppard,Nick Sheppard,2000,PF-C,81.5,,273,83,107.5,23.5,25.5,,,,12.14,,3.52,18
2065,Mike,Smith,Mike Smith,2000,SF,78.5,,198,80.5,103,33,21,,,,11.32,,3.22,12
2074,Jabari,Smith,Jabari Smith,2000,PF-C,81.75,,240.5,86.5,109.5,24.5,30,,,,12.45,,3.43,15
12027,Jarrett,Stephens,Jarrett Stephens,2000,PF,77.25,,258,81.25,103,27,29,,,,11.98,,3.46,13
12028,Bootsy,Thornton,Bootsy Thornton,2000,SG,75.5,,194.5,78.5,101.5,26.5,31,,,,12.08,,3.33,7
12029,Jaquay,Walls,Jaquay Walls,2000,PG,73.25,,165.5,74.5,96.5,28.5,35.5,,,,10.75,,3.23,0
12030,Jameel,Watkins,Jameel Watkins,2000,PF-C,81.5,,244.5,90,110,28,30.5,,,,12.38,,3.45,11
12033,Adam,Allenspach,Adam Allenspach,2001,C,83.5,,259,84.5,107,28.5,31,12.4,,,11.9,,3.4,16
2240,Gilbert,Arenas,Gilbert Arenas,2001,SG,74.25,,199,81.5,99.5,31.5,36,5.3,,,,,3.25,12
2220,Brandon,Armstrong,Brandon Armstrong,2001,SG,75.5,,188,81.5,99.5,30,37,9.3,,,10.91,,3.2,6
2203,Shane,Battier,Shane Battier,2001,SF-PF,80.25,,229,82.5,105,29.5,33,9.3,,,10.95,,3.3,12
12034,Cookie,Belcher,Cookie Belcher,2001,SG-PG,75,,206,80.5,99,35,41.5,5.3,,,11.26,,2.91,7
2294,Charlie,Bell,Charlie Bell,2001,PG,74.5,,200,79.5,97.5,31.5,38,6.7,,,10.59,,3.12,15
2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,2001,C,83.5,,245,88,111,26.5,31,6,,,11.84,,3.33,6
12035,Calvin,Bowman,Calvin Bowman,2001,PF,80.75,,214,83.5,104,28.5,34.5,8.6,,,11.96,,3.21,7
2214,Michael,Bradley,Michael Bradley,2001,PF,81.5,,227,85.5,107,27,30,9.3,,,11.11,,3.35,13
2249,Jamison,Brewer,Jamison Brewer,2001,PG,74.5,,178,80.75,102.5,26,32.5,6.7,,,9.65,,3.15,12
2198,Kwame,Brown,Kwame Brown,2001,PF-C,82,,243,85,108,30,33,8.9,,,11.59,,3.45,17
2245,Damone,Brown,Damone Brown,2001,SF,80.25,,202,83.75,104.5,32,37,6.7,,,11.81,,3.27,6
12031,SirValiant,Brown,SirValiant Brown,2001,PG,71,,176,76,92.5,31,39.5,6.7,,,11.23,,3,10
12032,Ryan,Carroll,Ryan Carroll,2001,SF-SG,76,,202,80.25,99,34.5,39,8,,,11,,3.1,14
2199,Tyson,Chandler,Tyson Chandler,2001,SF-PF,83.5,,224,87,110,31,33.5,6.7,,,12.13,,3.36,2
2251,Eric,Chenowith,Eric Chenowith,2001,C,85,,264,88,111,23.5,27.5,12.9,,,12.5,,3.59,6
2439,Sam,Clancy,Sam Clancy,2001,PF,78.25,,242,86.75,107,31,34,8,,,11.47,,3.13,15
12036,Gyasi,Cline-Heard,Gyasi Cline-Heard,2001,PF,78.25,,231,83.5,103,31.5,34.5,8,,,11.4,,3.23,11
2215,Jason,Collins,Jason Collins,2001,PF-C,82.25,,251,88.5,110,25.5,28.5,12.9,,,12.1,,3.54,8
2260,Jarron,Collins,Jarron Collins,2001,C-PF,81.25,,252,87,104,23,29,15.2,,,11.65,,3.6,10
2241,Omar,Cook,Omar Cook,2001,PG,71.5,,189,77.5,92,31,35.5,5.5,,,10.77,,3.2,9
2201,Eddy,Curry,Eddy Curry,2001,C,82.5,,301,90.5,111,28,31,16.5,,,12.25,,3.53,16
12037,Tate,Decker,Tate Decker,2001,SF,81.25,,218,83.75,107,25.5,28.5,13.6,,,12.19,,3.47,13
2205,DeSagana,Diop,DeSagana Diop,2001,C,82,,314,90.5,113,21.5,25.5,21,,,12.37,,3.56,15
12038,Robb,Dryden,Robb Dryden,2001,C,85,,241,86.5,110.2,27,30,8,,,12.47,,3.46,8
2230,Maurice,Evans,Maurice Evans,2001,SG,76.25,,221,80,101,34.5,37.5,4,,,10.08,,3.12,22
12039,Anthony,Evans,Anthony Evans,2001,PF,78,,267,83.5,101.5,31.5,33,12.9,,,12.56,,3.31,18
12150,Benjamin,Eze,Benjamin Eze,2001,C-PF,80.75,,232,90,109,29,32,3.9,,,13.05,,3.36,14
2386,Kimani,Ffriend,Kimani Ffriend,2001,C-PF,81.5,,228,82.75,108.5,32,33,11.7,,,11.46,,3.09,9
2228,Alton,Ford,Alton Ford,2001,PF,80.25,,271,82.5,102.5,34.5,36.5,8,,,11.7,,3.16,21
2218,Joseph,Forte,Joseph Forte,2001,SG,75.5,,193,78.5,100.5,26.5,33,,,,11.51,,3.19,10
-1,Jason,Gardner,Jason Gardner,2001,PG,69.75,,188,73.25,92.5,34.5,40,8,,,10.88,,2.92,9
12151,Jerry,Green,Jerry Green,2001,PG-SG,73.5,,179,78.25,99,28.5,35,5.5,,,11.7,,3.17,13
12152,Kenny,Gregory,Kenny Gregory,2001,SF,75.5,,200,83.25,101,39.5,45.5,6.7,,,11.33,,3.1,10
2204,Eddie,Griffin,Eddie Griffin,2001,PF-SF,81.25,,222,87,110,26.5,33,4,,,11.77,,3.21,3
2239,Trenton,Hassell,Trenton Hassell,2001,SG-SF,76.25,,205,80,99.5,35.5,37.5,5.3,,,11.57,,3.29,12
2213,Kirk,Haston,Kirk Haston,2001,PF-SF,80,,242,84.25,106,27,31.5,10.5,,,12.25,,3.35,11
12153,Charles,Hathaway,Charles Hathaway,2001,C,80,,274,86,107.5,,,,,,,,,
2217,Brendan,Haywood,Brendan Haywood,2001,C,83.75,,266,90.5,113.5,27,28.5,12.9,,,12.87,,3.5,17
12154,Michael,Hicks,Michael Hicks,2001,SG,76,,197,81.25,100.5,33,40.5,7.3,,,11.38,,3.19,13
2212,Steven,Hunter,Steven Hunter,2001,C-PF,82.25,,224,88,108,30.5,38.5,5.3,,,11.99,,3.15,11
12155,Andre,Hutson,Andre Hutson,2001,PF,80.25,,244,83.75,105.5,29,32.5,11.7,,,11.25,,3.3,17
12156,Nate,James,Nate James,2001,SF,76.75,,196,82.75,103,26,31,6,,,11.42,,3.31,23
2210,Richard,Jefferson,Richard Jefferson,2001,SF,79.25,,223,84,103,33,38.5,6.7,,,11.19,,3.15,14
2798,Horace,Jenkins,Horace Jenkins,2001,PG,71.75,,171,77.25,97,34.5,41,6,,,10.97,,3.1,2
12157,Darrell,Johns,Darrell Johns,2001,C,83.25,,278,89,111.5,23.5,30,19.1,,,12.41,,3.59,18
2207,Joe,Johnson,Joe Johnson,2001,SF-SG,78.75,,226,81,105,32.5,36.5,6.7,,,12.05,,3.4,12
2256,Ken,Johnson,Ken Johnson,2001,C,82.75,,227,88,109.5,32.5,35,9.9,,,11.27,,3.12,13
12158,Darren,Kelly,Darren Kelly,2001,SG-PG,74,,178,78.75,100,30.5,34.5,6.7,,,11.38,,3.21,1
2253,Sean,Lampley,Sean Lampley,2001,SF,77.5,,213,81.25,101,36,40,8,,,11.06,,3.12,12
12159,Zach,Marbury,Zach Marbury,2001,PG-SG,73.25,,183,75.5,96.5,33,36.5,6.7,,,11.53,,3.1,0
12160,Mike,Mardesich,Mike Mardesich,2001,C-PF,82.25,,247,84.5,108.5,24,30,13.6,,,11.65,,3.45,8
12161,DeMarcus,Minor,DeMarcus Minor,2001,SG,75.25,,207,80.25,99.5,29,41,6.7,,,10.57,,3.15,9
200081,Jamario,Moon,Jamario Moon,2001,SF,78.5,,185,83.5,103,33,43,5.3,,,11.64,,3.08,0
2211,Troy,Murphy,Troy Murphy,2001,PF,81.75,,230,83,105.5,28.5,34.5,11.7,,,11.22,,3.43,11
12162,Troy,Ostler,Troy Ostler,2001,PF-SF,80.75,,200,85.5,106.5,26.5,29.5,8,,,13.42,,3.5,2
40046,Lazaros,Papadopoulos,Lazaros Papadopoulos,2001,C-PF,82.25,,227,86.5,110.5,23,26,11.7,,,12,,3.7,4
12164,Rashad,Phillips,Rashad Phillips,2001,PG,69,,166,73.5,92,27,32,12.4,,,11.93,,3.27,5
12165,Demetrius,Porter,Demetrius Porter,2001,PG,70.75,,178,74.75,94,26,31,12.4,,,11.5,,3.34,5
12166,Martin,Rancik,Martin Rancik,2001,PF-SF,80.75,,230,80,102.5,32,37,8,,,10.77,,3.19,14
2202,Jason,Richardson,Jason Richardson,2001,SF-SG,76.75,,213,83.5,102.5,32.5,39.5,5.3,,,11.75,,3.12,15
2369,Norman,Richardson,Norman Richardson,2001,SG,75.5,,180,76.5,99,30.5,35.5,6,,,10.97,,3.15,2
2219,Jeryl,Sasser,Jeryl Sasser,2001,PG-SG,77.5,,194,82.5,103.5,29,34,6.7,,,11.47,,3.22,1
12167,Kenny,Satterfield,Kenny Satterfield,2001,PG,73,,176,76.5,98,28.5,33,6.7,,,12.05,,3.2,3
2243,Brian,Scalabrine,Brian Scalabrine,2001,PF-SF,80.75,,241,81.75,105.5,27,30.5,13.6,,,11.75,,3.47,14
12168,Lee,Scruggs,Lee Scruggs,2001,PF-SF,82.25,,209,89.75,110.5,23.5,29.5,10.5,,,13.28,,3.55,0
2250,Bobby,Simmons,Bobby Simmons,2001,SF,78.25,,235,84.25,105,27.5,34,6.7,,,11.69,,3.41,12
2226,Will,Solomon,Will Solomon,2001,PG-SG,71.75,,172,81.5,99.5,28.5,35,4,,,11.3,,3.22,4
12169,Greg,Stevenson,Greg Stevenson,2001,SF,75.75,,215,84.5,102,30,35.5,7.3,,,11.29,,3.23,15
12170,Damone,Thornton,Damone Thornton,2001,PF,78.75,,235,85.75,103.7,33.5,37.5,8,,,11.17,,3.2,19
2224,Jamaal,Tinsley,Jamaal Tinsley,2001,PG,72.75,,199,79.5,97.5,28,37.5,13.6,,,11.96,,3.2,1
12171,Tory,Walker,Tory Walker,2001,SF,78.75,,187,83.25,104.5,28,33,6.7,,,11.95,,3.25,7
12172,Souleymane,Wane,Souleymane Wane,2001,C,80.5,,235,89,109,29,30.5,11.2,,,12.02,,3.46,9
2248,Earl,Watson,Earl Watson,2001,PG,72,,184,78.75,97,32.5,37.5,4,,,10.97,,3.19,4
2206,Rodney,White,Rodney White,2001,SF,79.5,,243,83.5,104.5,27.5,33,9.3,,,12.07,,3.47,16
2254,Loren,Woods,Loren Woods,2001,C-PF,84.75,,246,89.5,113,24.5,28,9.3,,,11.83,,3.48,10
12040,Brent,Wright,Brent Wright,2001,PF-SF,79.75,,236,85.5,105.5,23,29,12.4,,,12.25,,3.3,19
12041,Michael,Wright,Michael Wright,2001,PF,79,,247,83.5,106.5,27.5,33.5,9.3,,,11.37,,3.21,18
2403,Nene,,Nene ,2002,PF,81.25,,253,88.5,109,30,34,,,,10.73,,3.19,16
2425,Robert,Archibald,Robert Archibald,2002,PF-C,82,,250,83.75,109.5,24,27.5,,,,11.34,,3.33,10
2486,Maurice,Baker,Maurice Baker,2002,PG,71.75,,178,76,96,29.5,33,,,,12.19,,3.29,2
2440,Matt,Barnes,Matt Barnes,2002,SF,78.75,,226,81,96.5,35.5,40.5,,,,10.68,,3.28,11
12286,Lubos,Barton,Lubos Barton,2002,SF-SG,78.5,,221,84,107,25.5,31.5,,,,11.2,,3.31,14
2437,Lonny,Baxter,Lonny Baxter,2002,PF-C,78.25,,264,85.5,107.5,28,32.5,,,,11.77,,3.21,14
12287,Lee,Benson,Lee Benson,2002,SF-PF,80.25,,217,85.75,109,27.5,32.5,,,,11.44,,3.29,14
2430,Carlos,Boozer,Carlos Boozer,2002,PF,79.75,,258,86.25,108.5,26.5,28.5,,,,10.77,,3.31,13
2414,Curtis,Borchardt,Curtis Borchardt,2002,C,82.75,,238,86.5,112,24,27,,,,12.56,,3.63,7
2452,J.R.,Bremer,J.R. Bremer,2002,SG-PG,73.25,,188,74.25,96,30,35.5,,,,10.93,,3.1,24
12288,Brian,Brown,Brian Brown,2002,PG-SG,74.5,,194,79,99,26,33,,,,11.43,,3.29,8
12289,Sylvere,Bryan,Sylvere Bryan,2002,PF,81,,226,88.5,109.5,28.5,29.5,,,,12.03,,3.2,13
12290,Chris,Burgess,Chris Burgess,2002,C,82,,246,83.5,109,24.5,31,,,,11.58,,3.37,24
2406,Caron,Butler,Caron Butler,2002,SF-SG,77.25,,222,83.5,103.5,27,31,,,,12.15,,3.33,2
2446,Rasual,Butler,Rasual Butler,2002,SF,78.75,,198,84,105.5,31.5,37.5,,,,11.54,,3.29,10
12291,Mire,Chatman,Mire Chatman,2002,PG-SG,72,,174,78,98,29,33,,,,11.12,,3.18,1
12042,Chris,Christoffersen,Chris Christoffersen,2002,C,84.75,,291,87.5,109,28,31,,,,12.55,,3.39,13
12043,Lenny,Cooke,Lenny Cooke,2002,SG-SF,77.5,,214,85,107,,,,,,,,,0
12044,Craig,Dawson,Craig Dawson,2002,SG-SF,75.5,,200,78.25,102,26,30,,,,12.06,,3.25,0
2399,Mike,Dunleavy,Mike Dunleavy,2002,SF,80,,230,81,106,24.5,29,,,,11.55,,3.3,11
12045,Teddy,Dupay,Teddy Dupay,2002,PG,69.5,,178,70.75,90.5,28,33,,,,10.53,,3.19,16
2451,Corsley,Edwards,Corsley Edwards,2002,PF,79.25,,285,82.75,106.5,28.5,33,,,,12.18,,3.31,12
12046,Andy,Ellis,Andy Ellis,2002,PF,81.25,,220,82.25,102,32,35.5,,,,11.69,,3.34,6
2408,Melvin,Ely,Melvin Ely,2002,PF,81,,240,88,111,26,29,,,,11.96,,3.35,7
2501,Reggie,Evans,Reggie Evans,2002,PF,79.5,,250,86.5,107.5,26,29.5,,,,12.73,,3.26,15
12047,Peter,Fehse,Peter Fehse,2002,PF-C,82,,220,84.5,109,,,,,,,,,
2400,Drew,Gooden,Drew Gooden,2002,PF,80.75,,227,84.5,106.5,29,33,,,,11.81,,3.19,13
12066,David,Graves,David Graves,2002,SG,76.5,,212,79,101,26,29.5,,,,11.2,,3.27,8
2696,Lynn,Greer,Lynn Greer,2002,PG,72.25,,170,73,94.5,29.5,36.5,,,,11.24,,3.16,12
12067,Rod,Grizzard,Rod Grizzard,2002,SF-SG,78,,193,84,107,,,,,,,,,6
101219,Anthony,Grundy,Anthony Grundy,2002,PG-SG,72.75,,167,79.75,99,27.5,32,,,,11.1,,3.39,0
2409,Marcus,Haislip,Marcus Haislip,2002,PF,80.5,,221,84,107,33.5,36.5,,,,11.35,,3.21,8
12068,Damon,Hancock,Damon Hancock,2002,SG-PG,74.75,,203,78,99.5,32,35,,,,11.62,,3.03,15
12069,Greg,Harrington,Greg Harrington,2002,PG,73,,183,75.75,97,28.5,34,,,,12.06,,3.32,15
2617,Udonis,Haslem,Udonis Haslem,2002,PF,79.75,,250,83,107,28.5,33.5,,,,11.8,,3.31,22
12070,Cordell,Henry,Cordell Henry,2002,PG,68,,155,73,92,33,37.5,,,,11.3,,3.04,1
2450,Randy,Holcomb,Randy Holcomb,2002,SF-PF,79,,225,85,105,29.5,35.5,,,,12.85,,3.22,15
2415,Ryan,Humphrey,Ryan Humphrey,2002,PF-SF,78,,223,84,104.5,31.5,37.5,,,,11.75,,3.2,13
2407,Jared,Jeffries,Jared Jeffries,2002,PF,82,,230,84.5,109,26,30,,,,11.73,,3.4,9
12049,Jason,Jennings,Jason Jennings,2002,C,83.25,,249,91,111,29,32,,,,11.92,,3.62,8
2410,Fred,Jones,Fred Jones,2002,SG,74.25,,218,84,100,33.5,37.5,,,,11.12,,3.13,
2495,Lonnie,Jones,Lonnie Jones,2002,C-PF,82.25,,230,86.25,112,30.5,31.5,,,,11.8,,3.33,15
2435,Mario,Kasun,Mario Kasun,2002,C,83.75,,260,83.5,109,,,,,,,,,12
12050,Sean,Kennedy,Sean Kennedy,2002,PG,72.75,,182,74.5,96,22.5,26.5,,,,11.64,,3.28,0
12051,Kris,Lang,Kris Lang,2002,C-PF,81.25,,242,83.75,109,28,29,,,,11.36,,3.24,19
12052,Muhammed,Lasege,Muhammed Lasege,2002,C-PF,80.75,,228,86,108.5,27.5,30,,,,12.96,,3.29,18
12053,Steve,Logan,Steve Logan,2002,PG,70,,207,71.75,92.5,,,,,,,,,11
2677,Kevin,Lyde,Kevin Lyde,2002,C-PF,80.75,,278,86,109.5,27.5,30.5,,,,12.97,,3.36,13
2432,Tito,Maddox,Tito Maddox,2002,PG,75,,200,77,99,27,32.5,,,,12.2,,3.24,0
12054,Kei,Madison,Kei Madison,2002,SF,79.75,,216,84.5,107,27.5,34.5,,,,11.74,,3.22,6
-1,Chris,Massie,Chris Massie,2002,PF,78.25,,248,84,107,,,,,,,,,
12055,Immanuel,McElroy,Immanuel McElroy,2002,SG,74.25,,191,78.5,100,,,,,,,,,9
12056,Aaron,McGhee,Aaron McGhee,2002,PF-SF,79,,255,82,105.5,26,28.5,,,,12.24,,,
12057,Elvin,Mims,Elvin Mims,2002,SF-SG,76.25,,211,85.5,105.5,32,38,,,,11.17,,3.22,7
12058,Byron,Mouton,Byron Mouton,2002,SG-SF,76.5,,213,82.25,102,24,30,,,,11.84,,3.1,7
2436,Ronald,Murray,Ronald Murray,2002,SG,75,,197,79.5,100.5,31,36.5,,,,11.13,,3.16,9
12059,Uche,Okafor,Uche Okafor,2002,PF-C,81,,229,89.5,112,24.5,25,,,,14.45,,3.34,10
2442,Chris,Owens,Chris Owens,2002,PF-SF,79,,237,83.5,104,,,,,,,,,10
2457,Jannero,Pargo,Jannero Pargo,2002,PG,72.25,,168,74.5,96,25.5,29.5,,,,11.11,,3.2,5
2470,Smush,Parker,Smush Parker,2002,PG-SG,74.5,,179,82,107.5,21,28.5,,,,12.3,,3.26,1
2458,Luke,Recker,Luke Recker,2002,SG-SF,76.75,,198,79,101,25.5,31,,,,10.78,,3.27,13
12061,Rolan,Roberts,Rolan Roberts,2002,PF,77.75,,241,85,105.5,32.5,37.5,,,,11.36,,3.33,16
12062,Travis,Robinson,Travis Robinson,2002,SF,77.25,,211,82.5,104.5,26,33,,,,11.96,,3.43,3
2416,Kareem,Rush,Kareem Rush,2002,SG-SF,76.75,,199,81.75,103.5,26,30,,,,11.86,,3.22,15
12063,Brooks,Sales,Brooks Sales,2002,PF-C,81,,232,82,108,26,29.5,,,,11.05,,3.29,13
2422,John,Salmons,John Salmons,2002,SF-SG,77.5,,207,82.25,104,30.5,34.5,,,,11.35,,3.25,12
2453,Predrag,Savovic,Predrag Savovic,2002,SG,76.75,,212,79,102,22.5,28.5,,,,10.94,,3.38,13
